,src,tgt
1,"After passing tenth, someone will give you her daughter.",दस ले पास है जाने जब्बए क्वे तुकु अपुडी चैली दीन।
2,"Who knows what is in my fate, if life has something in store for me or not?","को जाणूँ क्ये छ म्या्र भाग में, अगर जिबन्ती कें क्ये हैं गोय पै क्ये हौ्ल?"
3,Grandfather took the money and tied it in his dhoti knot.,बुबुल ऊँ पैंस लि बेर अपण धोतिक गा्ँठ पाड़ लीं।
4,"Unite the old village into one, you are a wise man.",पुर गौं एक कर राखौ तुम द्वि शैणि मैसनैल।
5,We request the readers that we do not lack literature.,पाठकों हैं लै निवेदन छ कि हमार पास साहित्य कि कमी न्हैति।
6,"Then Jesus took a man aside from the crowd, whispered in his ears, and applied his saliva to his tongue.",वीक बाद यीशु उ मैंस कैं भीड़ बे अलग ली गेईं और वीक कान मिं आपण आङू खिती और वीक जिबड़ मिं आपण थूक लगा।
7,"The sooner the chaos ends, the better.","जतुक जल्दी बबाल खतम है जावो, उतुकै भल।"
8,But you never gave me even a young goat to celebrate with my companions.,फिर लै तुमुल मिकैं कभै एक बकरक पॉठ तलक नि देइ कि मी आपण दगड़ुवोंक दगाड़ खुशी मनै सकूं।
9,Bisht Ji?s writings for these four plays have been staged in many theaters.,बिष्ट ज्यूक लेखी इन चारै नाटकोंक कई मंचों में मंचन लै हई छु।
10,"They plan to go worship tomorrow, but upon seeing their current confusion, they will become anxious and might just run away.","भोलहुं पुज जानेर छन, आब्बै जब यांक घोलमथोल देखाल, परेशान ह्वाल तब फिर भाजाल या बै।"
11,My heart can?t stay without asking.,म्यर मन बगैर पुछियै नि रै सकणय।
12,Then he went to Jerusalem to see her.,तब उं उकैं देखणक लिजी यरुशलेम गेईं।
13,"Too many mistakes are happening, what should I do, Grandfather, you?ve become just a photo now.","भौत्तै गल भर जां, के धान करूं, बड़बाबाज्यू, तुम तौ फोटो बण गोछा।"
14,"And they all came to Egypt and stayed with Joseph, but they all died there.","और उं सब मिस्र देश मिं ऐबेर यूसुफक दगाड़ रुण लागीं, और सब वैं मरि ग्याय।"
15,"Your pajama has been worn for the first time in life, and it has turned into a long skirt.","तौ पैजाम लै जिन्दगी में पैंल बेर सिणैछ, लम्बी घङणीन हैगे।"
16,"Oh Khadyuni! Tell us, we came with you, who went with you?",ओ खड़यूणी कौ! हम आपुण दगाड़ के ली बेर अयाँ जो आपुण दगड़ साथ ल्ही बेर जून।
17,"That officer replied, This girl is from Moab, and she came with your famous one.","उ मुन्शिल जबाब दे, यौ चेलि मोआब देशकि छु, और यौ वांबे नामीक दगाड़ ऐ रै।"
18,"After all these things, Paul knelt with them and prayed.",यौं सब बातोंक बाद पौलुसल उनर दगाड़ घुन टेकिबेर प्रार्थना करी।
19,"All the goats sat together asking about their zodiac signs, saying, Pandit Ji, what is my zodiac?","सारे बाखई एक जांग बैठ बरे आपण आपण राशी बारम पूछनेर भै, पंडितज्यू मेरी राशि कछ छूं।"
20,"You are going to your uncle?s place tonight, why, what work has come up with him? Tell me too, Damu?s mother asked.","तू आपण ममज्यू वाँ जाण छ कूणछिये बेई रात, किलै क्ये काम पड़गो रे मा्म दगा्ड़? मकणि लै बता', दमुवैकि इजैल पूछौ।"
21,"Even today, Punjab, Haryana, Gujarat, and all the southern states are close to world-class progress.","आज लै पंजाब, हरियाणा, गुजरात और दक्षिणाक सब्बै प्रदेश प्रगति की दौड़ में विश्वस्तर का नजदीक छन।"
22,"In 1903, a delegation of Almora intellectuals met Lord Curzon to end the coolie labor system.",सन् 1903 में लार्ड कर्जन कें अल्माड़ बुद्धिजीवीनक शिष्टमंडल य कुली बेगार प्रथा कें समाप्त करनै लिजी मिलौ।
23,The tiger?s strength is making mistakes.,नर बानरुक बुति गलती है जनेर हैइ।
24,This matter isn?t from today?s hills; it happened sixty or seventy years ago.,"यो बात आजाक पहाडै़क न्हां, आज बै साठ सत्तर बरस पैल्लियैक भै हो।"
25,"When you started writing a piece, how many times did you finalize it?","आपूँ जो रचना कें ल्यखन शुरू करछा, उकैं फाईनल कतुक बारी में करछा?"
26,"In our religion, for worship and weddings, turmeric paste is applied.","हमर धर्म पुज-पाठ में, ब्या काज में हल्दीक उबटन लगूनी।"
27,"Then I said, Yes, I?ll eat, but the wise one you gave me, let him pick fruit and feed me.","तब मैंसल कौ, होई, मील खा, लेकिन जो स्यैणि तुमुल मिकैं दी रॉखी, वील फल टोड़िबेर मिकैं खवा।"
28,Why does the memory of Mother come up? Dayanand?s wife said.,किलै इजैकि याद ऊणेंछ? दयानन्देकि घरवाइल कौ।
29,"In reality, everyone knows this, why does it happen like this?",वेसिकत यौ बात सबु कें पत्त हौय कि हुड्चा-हुड्च किलै हैं।
30,Haven?t you understood till now that you don?t have wisdom?,"के तुम आइ तलक नि समझा, के तुमर पास बुद्धि न्हैंती?"
31,I don?t know your terms and conditions.,मैं के नि जाणनी तुमरि शर्त-फर्त।
32,The treatment is ongoing; it will get better.,"बैदी इलाज चल रौ, ठीक है जालि।"
33,"My mind was feeling scared, I said.","मन म्यर लै डरन है रौछी, मैंसैल कौ।"
