src,tgt,tgt_augmented
"After passing tenth, someone will give you her daughter.",दस ले पास है जाने जब्बए क्वे तुकु अपुडी चैली दीन।,पास है जाने जब्बए क्वे तुकु अपुडी चैली दीन
"Who knows what is in my fate, if life has something in store for me or not?","को जाणूँ क्ये छ म्या्र भाग में, अगर जिबन्ती कें क्ये हैं गोय पै क्ये हौ्ल?","जिबन्ती कें क्ये छ म्या्र भाग में, अगर जिबन्ती कें क्ये हैं गोय पै क्ये हौ्ल?"
Grandfather took the money and tied it in his dhoti knot.,बुबुल ऊँ पैंस लि बेर अपण धोतिक गा्ँठ पाड़ लीं।,. . . . . . . . . पैंस लि बेर अपण धोतिक गा्ँठ पाड़ लीं।
"Unite the old village into one, you are a wise man.",पुर गौं एक कर राखौ तुम द्वि शैणि मैसनैल।,(१) एक कर राखौ तुम द्वि शैणि मैसनैल।
We request the readers that we do not lack literature.,पाठकों हैं लै निवेदन छ कि हमार पास साहित्य कि कमी न्हैति।,लै निवेदन हैं लै निवेदन हैं लै निवेदन छ कि हमार पास साहित्य कि कमी न्हैति।
"Then Jesus took a man aside from the crowd, whispered in his ears, and applied his saliva to his tongue.",वीक बाद यीशु उ मैंस कैं भीड़ बे अलग ली गेईं और वीक कान मिं आपण आङू खिती और वीक जिबड़ मिं आपण थूक लगा।,यीशु की मृत्यु के बाद यीशु उ मैंस कैं भीड़ बे अलग ली गेईं और वीक कान मिं आपण आङू खिती और वीक जिबड़ मिं आपण थूक लगा।
"The sooner the chaos ends, the better.","जतुक जल्दी बबाल खतम है जावो, उतुकै भल।",". . . . . जल्दी बबाल खतम है जावो, उतुकै भल।"
But you never gave me even a young goat to celebrate with my companions.,फिर लै तुमुल मिकैं कभै एक बकरक पॉठ तलक नि देइ कि मी आपण दगड़ुवोंक दगाड़ खुशी मनै सकूं।,तुमुल मिकैं कभै एक बकरक पॉठ तलक नि देइ कि मी आपण दगड़ुवोंक दगाड़ खुशी मनै सकूं।
Bisht Ji?s writings for these four plays have been staged in many theaters.,बिष्ट ज्यूक लेखी इन चारै नाटकोंक कई मंचों में मंचन लै हई छु।,लै हई छु। लै हई छु।
"They plan to go worship tomorrow, but upon seeing their current confusion, they will become anxious and might just run away.","भोलहुं पुज जानेर छन, आब्बै जब यांक घोलमथोल देखाल, परेशान ह्वाल तब फिर भाजाल या बै।","हुं पुज जानेर छन, आब्बै जब यांक घोलमथोल देखाल, परेशान ह्वाल तब फिर भाजाल या बै।"
My heart can?t stay without asking.,म्यर मन बगैर पुछियै नि रै सकणय।,. . . . . . . . . . यर मन बगैर पुछियै नि रै सकणय।
Then he went to Jerusalem to see her.,तब उं उकैं देखणक लिजी यरुशलेम गेईं।,. . . . . . उकैं देखणक लिजी यरुशलेम गेईं।
"Too many mistakes are happening, what should I do, Grandfather, you?ve become just a photo now.","भौत्तै गल भर जां, के धान करूं, बड़बाबाज्यू, तुम तौ फोटो बण गोछा।","ड़बाबाबाज्यू, तुम तौ फोटो बण गोछा।"
"And they all came to Egypt and stayed with Joseph, but they all died there.","और उं सब मिस्र देश मिं ऐबेर यूसुफक दगाड़ रुण लागीं, और सब वैं मरि ग्याय।",सब वैं मरि ग्याय।
"Your pajama has been worn for the first time in life, and it has turned into a long skirt.","तौ पैजाम लै जिन्दगी में पैंल बेर सिणैछ, लम्बी घङणीन हैगे।","जाम लै जिन्दगी में पैंल बेर सिणैछ, लम्बी घङणीन हैगे।"
"Oh Khadyuni! Tell us, we came with you, who went with you?",ओ खड़यूणी कौ! हम आपुण दगाड़ के ली बेर अयाँ जो आपुण दगड़ साथ ल्ही बेर जून।,खड़यूणी कौ! हम आपुण दगाड़ के ली बेर अयाँ जो आपुण दगड़ साथ ल्ही बेर जून।
"That officer replied, This girl is from Moab, and she came with your famous one.","उ मुन्शिल जबाब दे, यौ चेलि मोआब देशकि छु, और यौ वांबे नामीक दगाड़ ऐ रै।","न्शिल जबाब दे, यौ चेलि मोआब देशकि छु,"
"After all these things, Paul knelt with them and prayed.",यौं सब बातोंक बाद पौलुसल उनर दगाड़ घुन टेकिबेर प्रार्थना करी।,१ १ १ १ १ १ १ १
"All the goats sat together asking about their zodiac signs, saying, Pandit Ji, what is my zodiac?","सारे बाखई एक जांग बैठ बरे आपण आपण राशी बारम पूछनेर भै, पंडितज्यू मेरी राशि कछ छूं।","खई एक जांग बैठ बरे आपण आपण राशी बारम पूछनेर भै, पंडितज्यू मेरी राशि कछ छूं।"
"You are going to your uncle?s place tonight, why, what work has come up with him? Tell me too, Damu?s mother asked.","तू आपण ममज्यू वाँ जाण छ कूणछिये बेई रात, किलै क्ये काम पड़गो रे मा्म दगा्ड़? मकणि लै बता', दमुवैकि इजैल पूछौ।","ममज्यू वाँ जाण छ कूणछिये बेई रात, किलै क्ये काम पड़गो रे मा्म दगा्ड़? मकणि लै बता', दमुवैकि इजैल पूछौ।"
"Even today, Punjab, Haryana, Gujarat, and all the southern states are close to world-class progress.","आज लै पंजाब, हरियाणा, गुजरात और दक्षिणाक सब्बै प्रदेश प्रगति की दौड़ में विश्वस्तर का नजदीक छन।","पंजाब, हरियाणा, गुजरात और दक्षिणाक सब्बै प्रदेश प्रगति की दौड़ में विश्वस्तर का नजदीक छन।"
"In 1903, a delegation of Almora intellectuals met Lord Curzon to end the coolie labor system.",सन् 1903 में लार्ड कर्जन कें अल्माड़ बुद्धिजीवीनक शिष्टमंडल य कुली बेगार प्रथा कें समाप्त करनै लिजी मिलौ।,में लार्ड कर्जन कें अल्माड़ बुद्धिजीवीनक शिष्टमंडल य कुली बेगार प्रथा कें समाप्त करनै लिजी मिलौ।
The tiger?s strength is making mistakes.,नर बानरुक बुति गलती है जनेर हैइ।,नरुक बुति गलती है जनेर हैइ।
This matter isn?t from today?s hills; it happened sixty or seventy years ago.,"यो बात आजाक पहाडै़क न्हां, आज बै साठ सत्तर बरस पैल्लियैक भै हो।","आजाक पहाडै़क न्हां, आज बै साठ सत्तर बरस पैल्लियैक भै हो।"
"When you started writing a piece, how many times did you finalize it?","आपूँ जो रचना कें ल्यखन शुरू करछा, उकैं फाईनल कतुक बारी में करछा?","आप जानते हैं जो रचना कें ल्यखन शुरू करछा, उकैं फाईनल कतुक बारी में करछा?"
"In our religion, for worship and weddings, turmeric paste is applied.","हमर धर्म पुज-पाठ में, ब्या काज में हल्दीक उबटन लगूनी।","पुज-पाठ में, ब्या काज में हल्दीक उबटन लगूनी।"
"Then I said, Yes, I?ll eat, but the wise one you gave me, let him pick fruit and feed me.","तब मैंसल कौ, होई, मील खा, लेकिन जो स्यैणि तुमुल मिकैं दी रॉखी, वील फल टोड़िबेर मिकैं खवा।","कौ, होई, मील खा, लेकिन जो स्यैणि तुमुल मिकैं दी रॉखी, वील फल टोड़िबेर मिकैं खवा।"
Why does the memory of Mother come up? Dayanand?s wife said.,किलै इजैकि याद ऊणेंछ? दयानन्देकि घरवाइल कौ।,कि इजैकि याद ऊणेंछ? दयानन्देकि घरवाइल कौ।
"In reality, everyone knows this, why does it happen like this?",वेसिकत यौ बात सबु कें पत्त हौय कि हुड्चा-हुड्च किलै हैं।,यौ बात सबु कें पत्त हौय कि हुड्चा-हुड्च किलै हैं।
Haven?t you understood till now that you don?t have wisdom?,"के तुम आइ तलक नि समझा, के तुमर पास बुद्धि न्हैंती?","आइ तलक नि समझा, के तुमर पास बुद्धि न्हैंती?"
I don?t know your terms and conditions.,मैं के नि जाणनी तुमरि शर्त-फर्त।,नि जाणनी तुमरि शर्त-फर्त।
The treatment is ongoing; it will get better.,"बैदी इलाज चल रौ, ठीक है जालि।","चल रौ, ठीक है जालि।"
"My mind was feeling scared, I said.","मन म्यर लै डरन है रौछी, मैंसैल कौ।","I don't know what you're talking about, लैयर लै डरन है, मैंसैल कौ।म्यर लै डरन है, मैंसैल कौ।"
"How is the situation going, how will it get better, how is the seven-and-a-half-year phase going, with gold feet, silver feet, iron feet?","कसी दशा चल रै कसी ठीक हैली, कसी साड़ेसाती चल रै, सुनुक खुटक, चांदी खुटक, लूवैक खुटक।","दशा चल रै कसी ठीक हैली, कसी साड़ेसाती चल रै, सुनुक खुटक, चांदी खुटक, लूवैक खुटक।"
"This is my prayer, that your love, wisdom, and understanding for God always grow.","मेरि यौ प्रार्थना छु, कि तुम परमेश्वरक प्रेम, बुद्धि और समझ मिं हमेशा बढ़नै रओ।","मैं तुम से प्रार्थना छु, कि तुम परमेश्वरक प्रेम, बुद्धि और समझ मिं हमेशा बढ़नै रओ।"
"Because he was tied with chains and shackles repeatedly, but he broke the chains and smashed the shackles into pieces.","किलैकि उकैं बारि-बारि जंजीरोंल और बेड़ियोंल बादछी, पर वील जंजीरों कैं टोड़ि दे और बेड़ियोंक टुकुड़-टुकुड़ बड़ै देईं।","किलैकि उकैं बारि-बारि जंजीरोंल और बेड़ियोंल बादछी, पर वील जंजीरों कैं टोड़ि दे और बेड़ियोंक टुकुड़-टुकुड़ बड़ै देईं।"
"Now he made a vow that a poem or article about helpless wise women, who sacrificed their lives to save their honor in society till today, and couldn?t resist or confront demon-like men.",अब वील एक प्रण करौ कि एक कविता या आलेख अबला स्यैणियो पर जो आज तक समाज में अपणि लाज बचूणा्क चक्कर में अपणि ज्यान कुर्बान कर दिनी और ऊँ दैत्य-दानव स्वरूप मैंसों क मुकाबला या विरोध निकर सकन।,हम आप सभी को एक प्रण करौ कि एक कविता या आलेख अबला स्यैणियो पर जो आज तक समाज में अपणि लाज बचूणा्क चक्कर में अपणि ज्यान कुर्बान कर दिनी और ऊँ दैत्य-दानव स्वरूप मैंसों क मुकाबला या विरोध निकर सकन।
"Then Pancham said he?d dance with friends, but not now, only when your sister-in-law comes.","तब पंचम कूनी वाल भै-यार नाचनौ काम त मैं ले करूंल लेकिन ऐल नैं, जब तेरि भौजि ऐ जालि तब।","म कूनी वाल भै-यार नाचनौ काम मैं ले करूंल लेकिन ऐल नैं, जब तेरि भौजि ऐ जालि तब।"
"Devaki told Radha the story of four rotis, where three were eaten, one wasn?t, and she even mentioned keeping it in a plastic bag under her pillow.","देबकील राधाक चार लेसु र्वाटौंकि कहानि, जमें बै तीन खाई, एक नि खाइ और उकैं पलास्टिक थैलि में सिराण दबूणकि बात लै बतै दी।","कील राधाक चार लेसु र्वाटौंकि कहानि, जमें बै तीन खाई, एक नि खाइ और उकैं पलास्टिक थैलि में सिराण दबूणकि बात लै बतै दी।"
"Seeing Pandey Ji laugh, the headmaster looked at his pajama, and it truly looked like a clown?s.",पांडे ज्यू कें हँसण देखि बेर हेडमास्टर ज्यूल पैजामैकि तरफ द्यखो तौ पैजाम सच्ची में जोकरनैकि जसि हई भइ।,बेर कें हँसण देखि बेर हेडमास्टर ज्यूल पैजामैकि तरफ द्यखो तौ पैजाम सच्ची में जोकरनैकि जसि हई भइ।
It shouldn?t take too long for the burial.,कफन-दफन में जादा देर जै के लागैं।,न-दफन में जादा देर जै के लागैं।
"On the wedding night, after drinking liquor by eight or nine, he fell into a stupor.",ब्याव रात आठ-नौ बजि शराब पिबेर ऊँ और टुनन से जाँ।,आठ-नौ बजि शराब पिबेर ऊँ और टुनन से जाँ।
"We don?t know what?s happening in the outside world; God, tell us what?s going on in the world these days!","भ्यैरैकि दुनियकि हमन कैं के ले खबर नहां, भगवन हमन कैं यो बताओ कि दुन्नि में कि हैरौ आजकल!","्यैरैकि दुनियकि हमन कैं के ले खबर नहां, भगवन हमन कैं यो बताओ कि दुन्नि में कि हैरौ आजकल!"
This is a dictionary based on the etymology of pure Kumaoni words.,य विशुद्ध रूपल कुमाउनी शब्दोंक व्युत्पत्तिपरक कोश छ।,रूपल कुमाउनी शब्दोंक व्युत्पत्तिपरक कोश छ।
"When Golu Ji became king, he started working to ease the people?s sorrows.",जब गोलु ज्यु राज बनीं तो प्रजा क दुःख दूर करण में लागि गईं।,ज्यु राज बनीं तो प्रजा क दुःख दूर करण में लागि गईं।
"We all can cry well, but our only sorrow is that our family doesn?t maintain any kind of relationship with us.",हम सब भली कै रुनू पर एक्कै दुख छु कि हमार परिवार वाल हमन दगै क्वे किस्मौक संबंध नि धरण चाण।,भली कै रुनू पर एक्कै दुख छु कि हमार परिवार वाल हमन दगै क्वे किस्मौक संबंध नि धरण चाण।
To perform worship at the story?s place would be right.,य काथ कैं कथा कि जागि पर पुज कौण ठीक रौल।,का का का कैं कथा कि जागि पर पुज कौण ठीक रौल।
"Sister! In those days when you all went to the far jungle, laughing, joking, singing songs and ballads while bringing grass and wood, hearing those things cheered me up; how good those days were.","दीदी! उन दिनों जब तुम सब धुर-जंगव जांछिया, वांकि हँसि-मजाक, गीत-बैर गाते हुए घा-लकाड़ लौंछिया, उ बातों कैं सुणि बेर मैंकणि हौसि लागनेर भै, कतुक भाल भै उ दिन।","दी! उन दिनों जब तुम सब धुर-जंगव जांछिया, वांकि हँसि-मजाक, गीत-बैर गाते हुए घा-लकाड़ लौंछिया, उ बातों कैं सुणि बेर मैंकणि हौसि लागनेर भै, कतुक भाल भै उ दिन।"
"Hearing this, all the people were stunned.",यौ सुणिबेर सब मैंस दंग रै ग्याय।,णिबेर सब मैंस दंग रै ग्याय।
"Oh madman! If you file a report at the police station, the police and government together will make you dance for life.",हे पगला! थाण में रपोट लेखूण पर त पुलिस और सरकार मिलि बेर तुकें जिंदगी भरिकि थें नचै द्याल।,गला! थाण में रपोट लेखूण पर त पुलिस और सरकार मिलि बेर तुकें जिंदगी भरिकि थें नचै द्याल।
